ibu,.
Serangan,NOUN
terhadap,ADP
Iran,NOUN
akan,ADV
menjadi,VERB
bencana,NOUN
dan,CONJ
mendorongnya,VERB
mengembangkan,VERB
bom,NOUN
nuklir,NOUN
",",.
"""",.
kata,NOUN
Mohamed,NOUN
ElBaradei,NOUN
",",.
Direktur,NOUN
Jenderal,NOUN
Badan,NOUN
Tenaga,NOUN
Atom,NOUN
Internasional,NOUN
(,.
IAEA,NOUN
),.
",",.
Kamis,NOUN
.,.
"""",.
Itu,DET
sama,ADJ
sekali,ADV
kontra-produktif,ADJ
",",.
dan,CONJ
itu,DET
akan,ADV
menjadi,VERB
bencana,NOUN
",",.
"""",.
kata,NOUN
ElBaradei,NOUN
pada,ADP
pembahasan,NOUN
mengenai,VERB
penyebaran,NOUN
nuklir,NOUN
di,ADP
Forum,NOUN
Ekonomi,NOUN
Dunia,NOUN
.,.
Pemerintah,NOUN
AS,NOUN
",",.
pimpinan,NOUN
Presiden,NOUN
George,NOUN
W,NOUN
.,.
Bush,NOUN
",",.
dalam,ADP
beberapa,DET
pekan,NOUN
belakangan,NOUN
telah,ADV
meningkatkan,VERB
pendiriannya,NOUN
terhadap,ADP
Iran,NOUN
",",.
yang,PRON
telah,ADV
dituduh,VERB
Barat,NOUN
secara,DET
diam-diam,ADJ
sedang,ADV
berusaha,VERB
membuat,VERB
bom,NOUN
atom,NOUN
",",.
sehingga,CONJ
meningkatkan,VERB
kekhawatiran,NOUN
di,ADP
kalangan,NOUN
pemimpin,NOUN
usaha,NOUN
dan,CONJ
politik,NOUN
bahwa,CONJ
AS,NOUN
berencana,VERB
melancarkan,VERB
serangan,NOUN
.,.
Presiden,NOUN
Bush,NOUN
telah,ADV
mengerahkan,VERB
kapal,NOUN
induk,NOUN
tambahan,NOUN
ke,ADP
Teluk,NOUN
dan,CONJ
memberi,VERB
tahu,VERB
Iran,NOUN
bahwa,CONJ
ia,PRON
tak,PRT
kan,X
membiarkan,VERB
negeri,NOUN
DET,PRON
menyediakan,VERB
senjata,NOUN
dan,CONJ
dukungan,NOUN
kepada,ADP
kelompok,NOUN
perlawanan,NOUN
di,ADP
Irak,NOUN
.,.
Israel,NOUN
telah,ADV
menolak,VERB
untuk,CONJ
mengesampingkan,VERB
aksi,NOUN
militer,NOUN
untuk,CONJ
mendahului,VERB
terhadap,ADP
Iran,NOUN
sejalan,DET
dengan,ADP
serangan,NOUN
udaranya,NOUN
1981,NUM
terhadap,ADP
satu,NUM
reaktor,NOUN
atom,NOUN
di,ADP
Irak,NOUN
",",.
kendati,CONJ
banyak,DET
pengulas,NOUN
percaya,VERB
instalasi,NOUN
nuklir,NOUN
Iran,NOUN
terlalu,ADV
besar,ADJ
untuk,CONJ
dirusak,VERB
oleh,ADP
Israel,NOUN
sendirian,NOUN
saja,ADV
.,.
PBB,NOUN
memberlakukan,VERB
sanksi,NOUN
pada,ADP
Desember,NOUN
guna,NOUN
mencegah,VERB
Iran,NOUN
menggunakan,VERB
program,NOUN
energi,NOUN
nuklirnya,NOUN
untuk,CONJ
membuat,VERB
senjata,NOUN
militer,NOUN
",",.
dan,CONJ
Iran,NOUN
pekan,NOUN
ini,DET
melarang,VERB
38,NUM
pemeriksa,NOUN
nuklir,NOUN
IAEA,NOUN
.,.
ElBaradei,NOUN
",",.
pemimpin,NOUN
badan,NOUN
pengawas,NOUN
nuklir,NOUN
PBB,NOUN
",",.
telah,VERB
mengadakan,VERB
pembicaraan,NOUN
di,ADP
Davos,NOUN
",",.
Swiss,NOUN
",",.
pada,ADP
pertemuan,NOUN
pemimpin,NOUN
usaha,NOUN
dan,CONJ
politik,NOUN
dunia,NOUN
.,.
Ia,NOUN
mengatakan,VERB
diplomasi,NOUN
adalah,VERB
satu-satunya,NUM
cara,NOUN
untuk,CONJ
maju,VERB
",",.
dan,CONJ
pembicaraan,NOUN
mengenai,VERB
aksi,NOUN
militer,NOUN
hanya,ADV
dapat,VERB
menjadi,VERB
kemunduran,NOUN
.,.
"""",.
Ini,NOUN
memperkuat,VERB
tangan,NOUN
mereka,PRON
di,ADP
Iran,NOUN
yang,CONJ
mengatakan,VERB
,.
mari,VERB
buat,VERB
bom,NOUN
untuk,CONJ
melindungi,VERB
diri,PRON
kita,PRON
,.
",",.
"""",.
katanya,VERB
.,.
Pemerintah,NOUN
Bush,NOUN
telah,VERB
mengatakan,VERB
mengingini,VERB
penyelesaian,NOUN
diplomatik,NOUN
dan,CONJ
tidak,PRT
sedang,ADV
mempersiapkan,VERB
diri,NOUN
untuk,CONJ
menyerang,VERB
Iran,NOUN
atau,CONJ
Suriah,NOUN
.,.
Perdana,NOUN
Menteri,NOUN
Pakistan,NOUN
Shaukat,NOUN
Aziz,NOUN
juga,ADV
memperingatkan,VERB
negara,NOUN
Barat,NOUN
agar,CONJ
tidak,PRT
menyerang,VERB
Iran,NOUN
",",.
sementara,CONJ
mantan,ADJ
presiden,NOUN
Iran,NOUN
Mohammad,NOUN
Khatami,NOUN
mendesak,VERB
semua,DET
pihak,NOUN
agar,CONJ
meredakan,VERB
ketegangan,NOUN
mengenai,VERB
program,NOUN
nuklir,NOUN
Iran,NOUN
.,.
"""",.
Jika,NOUN
terjadi,VERB
aksi,NOUN
militer,NOUN
",",.
itu,DET
akan,ADP
memiliki,VERB
akibat,NOUN
berupa,VERB
bencana,NOUN
",",.
bukan,PRT
hanya,ADV
di,ADP
wilayah,NOUN
tersebut,VERB
",",.
tapi,CONJ
seluruh,DET
dunia,NOUN
",",.
"""",.
kata,NOUN
Aziz,NOUN
.,.
Saya,NOUN
berharap,VERB
mereka,PRON
cukup,ADJ
baik,ADJ
dalam,ADJ
menangani,VERB
keadaan,NOUN
.,.
"""",.
Kita,NOUN
perlu,VERB
sangat,ADV
bersabar,VERB
dan,CONJ
memahami,VERB
dan,CONJ
tidak,PRT
terlalu,ADV
emosional,ADJ
",",.
"""",.
kata,NOUN
Khatami,NOUN
.,.